mock_date,daily_new_users,paid_user_uv,checkout_users,paid_users,first_order_pay_rate,checkout_to_paid_rate,d1_retention_rate,total_feedback_count,stockout_feedback_count,stockout_feedback_rate,first_order_gmv,first_order_aov
2026-04-01,15818,797,8273,5652,0.0504,0.6832,0.1818,345,161.0,0.4667,560068.33,99.09
2026-04-02,16246,848,9084,6163,0.0522,0.6784,0.1914,415,217.0,0.5229,616876.82,100.09
2026-04-03,16483,868,9096,6165,0.0527,0.6778,0.1807,407,185.0,0.4545,569374.29,92.36
2026-04-04,15816,791,7995,5394,0.05,0.6747,0.1818,321,159.0,0.4953,574999.72,106.6
2026-04-05,15777,809,8669,5910,0.0513,0.6817,0.1813,368,166.0,0.4511,612352.2,103.61
2026-04-06,16124,812,8602,5802,0.0504,0.6745,0.1813,353,152.0,0.4306,573218.5,98.8
2026-04-07,15942,779,8279,5579,0.0489,0.6739,0.1811,365,171.0,0.4685,530364.88,95.06
2026-04-08,15854,795,8837,6073,0.0501,0.6872,0.1801,385,204.0,0.5299,640200.48,105.42
2026-04-09,16077,811,8777,5986,0.0504,0.682,0.186,371,172.0,0.4636,628717.83,105.03
2026-04-10,16088,807,8477,5674,0.0502,0.6693,0.1839,378,190.0,0.5026,594645.12,104.8
2026-04-11,15586,764,8056,5540,0.049,0.6877,0.1802,323,160.0,0.4954,539624.77,97.41
2026-04-12,15535,762,8126,5553,0.0491,0.6834,0.1849,345,173.0,0.5014,596338.48,107.39
2026-04-13,16250,845,9071,6092,0.052,0.6716,0.1839,385,197.0,0.5117,594799.63,97.64
2026-04-14,16042,801,8163,5604,0.0499,0.6865,0.1819,330,158.0,0.4788,537843.17,95.97
2026-04-15,16032,816,8750,5975,0.0509,0.6829,0.1882,389,193.0,0.4961,609609.83,102.03
2026-04-16,16030,781,8111,5510,0.0487,0.6793,0.185,359,159.0,0.4429,514959.16,93.46
2026-04-17,16124,801,8273,5686,0.0497,0.6873,0.1818,379,198.0,0.5224,586516.57,103.15
2026-04-18,15802,793,8272,5592,0.0502,0.676,0.182,342,154.0,0.4503,588875.75,105.31
2026-04-19,15566,752,7780,5171,0.0483,0.6647,0.1858,336,176.0,0.5238,525844.96,101.69
2026-04-20,16046,792,8251,5525,0.0494,0.6696,0.1816,335,138.0,0.4119,524796.11,94.99
2026-04-21,16294,747,7820,5183,0.0458,0.6628,0.1022,361,190.0,0.5263,535416.9,103.3
2026-04-22,16026,695,7432,4806,0.0434,0.6467,0.0946,314,147.0,0.4682,469772.71,97.75
2026-04-23,15788,644,7152,4577,0.0408,0.64,0.0957,363,187.0,0.5152,442529.56,96.69
2026-04-24,16010,666,6823,4410,0.0416,0.6463,0.1012,327,163.0,0.4985,459314.54,104.15
2026-04-25,15463,629,6603,4283,0.0407,0.6486,0.1013,321,167.0,0.5202,449855.86,105.03
2026-04-26,15949,715,7487,4856,0.0448,0.6486,0.0992,330,151.0,0.4576,456904.05,94.09
2026-04-27,16223,726,7806,5207,0.0448,0.6671,0.1734,322,149.0,0.4627,500111.83,96.05
2026-04-28,16464,824,8464,5758,0.05,0.6803,0.1815,365,178.0,0.4877,572603.03,99.44
2026-04-29,16037,778,8166,5553,0.0485,0.68,0.1842,311,133.0,0.4277,521534.31,93.92
2026-04-30,16188,809,8582,5766,0.05,0.6719,0.1823,350,164.0,0.4686,546456.29,94.77
