mock_date,city,checkout_uv,paid_uv,overall_pay_rate,top20_checkout_uv,top20_paid_uv,oos_rate
2026-04-01,上海,953.0,655.0,0.6873,89.0,60.0,0.3258
2026-04-01,北京,893.0,624.0,0.6988,96.0,71.0,0.2604
2026-04-01,南京,1104.0,788.0,0.7138,123.0,88.0,0.2846
2026-04-01,广州,1264.0,848.0,0.6709,129.0,79.0,0.3876
2026-04-01,成都,978.0,681.0,0.6963,121.0,78.0,0.3554
2026-04-01,杭州,980.0,664.0,0.6776,90.0,68.0,0.2444
2026-04-01,武汉,1038.0,673.0,0.6484,122.0,81.0,0.3361
2026-04-01,深圳,1063.0,719.0,0.6764,111.0,83.0,0.2523
2026-04-02,上海,1061.0,713.0,0.672,124.0,73.0,0.4113
2026-04-02,北京,896.0,633.0,0.7065,115.0,72.0,0.3739
2026-04-02,南京,1243.0,856.0,0.6887,124.0,88.0,0.2903
2026-04-02,广州,982.0,668.0,0.6802,108.0,78.0,0.2778
2026-04-02,成都,1337.0,884.0,0.6612,154.0,101.0,0.3442
2026-04-02,杭州,1127.0,758.0,0.6726,128.0,96.0,0.25
2026-04-02,武汉,1299.0,877.0,0.6751,118.0,84.0,0.2881
2026-04-02,深圳,1139.0,774.0,0.6795,92.0,63.0,0.3152
2026-04-03,上海,1095.0,754.0,0.6886,94.0,65.0,0.3085
2026-04-03,北京,1164.0,793.0,0.6813,116.0,77.0,0.3362
2026-04-03,南京,1148.0,782.0,0.6812,121.0,83.0,0.314
2026-04-03,广州,1130.0,749.0,0.6628,107.0,74.0,0.3084
2026-04-03,成都,1041.0,690.0,0.6628,118.0,76.0,0.3559
2026-04-03,杭州,1185.0,816.0,0.6886,131.0,85.0,0.3511
2026-04-03,武汉,1108.0,769.0,0.694,113.0,85.0,0.2478
2026-04-03,深圳,1225.0,812.0,0.6629,116.0,74.0,0.3621
2026-04-04,上海,876.0,593.0,0.6769,84.0,56.0,0.3333
2026-04-04,北京,1098.0,739.0,0.673,97.0,71.0,0.268
2026-04-04,南京,1141.0,771.0,0.6757,119.0,79.0,0.3361
2026-04-04,广州,912.0,639.0,0.7007,81.0,59.0,0.2716
2026-04-04,成都,1023.0,684.0,0.6686,103.0,61.0,0.4078
2026-04-04,杭州,1075.0,733.0,0.6819,101.0,73.0,0.2772
2026-04-04,武汉,802.0,536.0,0.6683,95.0,68.0,0.2842
2026-04-04,深圳,1068.0,699.0,0.6545,116.0,84.0,0.2759
2026-04-05,上海,959.0,646.0,0.6736,96.0,63.0,0.3438
2026-04-05,北京,1132.0,776.0,0.6855,117.0,87.0,0.2564
2026-04-05,南京,1150.0,770.0,0.6696,125.0,89.0,0.288
2026-04-05,广州,967.0,665.0,0.6877,77.0,45.0,0.4156
2026-04-05,成都,1121.0,760.0,0.678,115.0,78.0,0.3217
2026-04-05,杭州,1091.0,764.0,0.7003,132.0,90.0,0.3182
2026-04-05,武汉,1162.0,794.0,0.6833,106.0,73.0,0.3113
2026-04-05,深圳,1087.0,735.0,0.6762,138.0,87.0,0.3696
2026-04-06,上海,845.0,568.0,0.6722,104.0,72.0,0.3077
2026-04-06,北京,1044.0,697.0,0.6676,84.0,55.0,0.3452
2026-04-06,南京,1080.0,738.0,0.6833,113.0,66.0,0.4159
2026-04-06,广州,887.0,596.0,0.6719,89.0,62.0,0.3034
2026-04-06,成都,1227.0,841.0,0.6854,122.0,90.0,0.2623
2026-04-06,杭州,1095.0,738.0,0.674,118.0,79.0,0.3305
2026-04-06,武汉,1205.0,805.0,0.668,123.0,88.0,0.2846
2026-04-06,深圳,1219.0,819.0,0.6719,136.0,88.0,0.3529
2026-04-07,上海,918.0,618.0,0.6732,100.0,66.0,0.34
2026-04-07,北京,917.0,628.0,0.6848,100.0,69.0,0.31
2026-04-07,南京,988.0,656.0,0.664,104.0,68.0,0.3462
2026-04-07,广州,1166.0,814.0,0.6981,106.0,78.0,0.2642
2026-04-07,成都,1116.0,739.0,0.6622,120.0,70.0,0.4167
2026-04-07,杭州,1089.0,702.0,0.6446,113.0,71.0,0.3717
2026-04-07,武汉,1053.0,726.0,0.6895,108.0,77.0,0.287
2026-04-07,深圳,1032.0,696.0,0.6744,127.0,81.0,0.3622
2026-04-08,上海,1279.0,885.0,0.6919,126.0,92.0,0.2698
2026-04-08,北京,1040.0,707.0,0.6798,95.0,61.0,0.3579
2026-04-08,南京,932.0,618.0,0.6631,107.0,73.0,0.3178
2026-04-08,广州,1172.0,811.0,0.692,107.0,69.0,0.3551
2026-04-08,成都,1174.0,815.0,0.6942,120.0,86.0,0.2833
2026-04-08,杭州,1175.0,798.0,0.6791,112.0,79.0,0.2946
2026-04-08,武汉,994.0,708.0,0.7123,89.0,59.0,0.3371
2026-04-08,深圳,1071.0,731.0,0.6825,110.0,73.0,0.3364
2026-04-09,上海,1315.0,914.0,0.6951,148.0,99.0,0.3311
2026-04-09,北京,831.0,582.0,0.7004,103.0,75.0,0.2718
2026-04-09,南京,1166.0,791.0,0.6784,116.0,69.0,0.4052
2026-04-09,广州,1072.0,710.0,0.6623,105.0,72.0,0.3143
2026-04-09,成都,1138.0,796.0,0.6995,108.0,77.0,0.287
2026-04-09,杭州,988.0,666.0,0.6741,96.0,62.0,0.3542
2026-04-09,武汉,1097.0,730.0,0.6655,102.0,72.0,0.2941
2026-04-09,深圳,1170.0,797.0,0.6812,130.0,101.0,0.2231
2026-04-10,上海,780.0,524.0,0.6718,95.0,67.0,0.2947
2026-04-10,北京,1193.0,776.0,0.6505,108.0,72.0,0.3333
2026-04-10,南京,1186.0,808.0,0.6813,110.0,72.0,0.3455
2026-04-10,广州,893.0,603.0,0.6753,106.0,71.0,0.3302
2026-04-10,成都,1179.0,773.0,0.6556,129.0,79.0,0.3876
2026-04-10,杭州,1086.0,755.0,0.6952,126.0,85.0,0.3254
2026-04-10,武汉,1007.0,659.0,0.6544,72.0,45.0,0.375
2026-04-10,深圳,1153.0,776.0,0.673,153.0,103.0,0.3268
2026-04-11,上海,986.0,696.0,0.7059,98.0,74.0,0.2449
2026-04-11,北京,925.0,631.0,0.6822,94.0,63.0,0.3298
2026-04-11,南京,745.0,498.0,0.6685,91.0,61.0,0.3297
2026-04-11,广州,1089.0,733.0,0.6731,114.0,75.0,0.3421
2026-04-11,成都,862.0,582.0,0.6752,82.0,57.0,0.3049
2026-04-11,杭州,1138.0,803.0,0.7056,128.0,86.0,0.3281
2026-04-11,武汉,1112.0,784.0,0.705,98.0,73.0,0.2551
2026-04-11,深圳,1199.0,813.0,0.6781,126.0,88.0,0.3016
2026-04-12,上海,941.0,626.0,0.6652,93.0,63.0,0.3226
2026-04-12,北京,978.0,677.0,0.6922,96.0,72.0,0.25
2026-04-12,南京,1193.0,830.0,0.6957,104.0,75.0,0.2788
2026-04-12,广州,873.0,591.0,0.677,84.0,63.0,0.25
2026-04-12,成都,1059.0,731.0,0.6903,108.0,78.0,0.2778
2026-04-12,杭州,1057.0,702.0,0.6641,113.0,75.0,0.3363
2026-04-12,武汉,920.0,637.0,0.6924,85.0,59.0,0.3059
2026-04-12,深圳,1105.0,759.0,0.6869,125.0,95.0,0.24
2026-04-13,上海,1057.0,731.0,0.6916,123.0,86.0,0.3008
2026-04-13,北京,1070.0,720.0,0.6729,111.0,69.0,0.3784
2026-04-13,南京,1013.0,683.0,0.6742,108.0,73.0,0.3241
2026-04-13,广州,1148.0,761.0,0.6629,111.0,80.0,0.2793
2026-04-13,成都,1546.0,1048.0,0.6779,143.0,92.0,0.3566
2026-04-13,杭州,1223.0,783.0,0.6402,130.0,85.0,0.3462
2026-04-13,武汉,858.0,600.0,0.6993,78.0,56.0,0.2821
2026-04-13,深圳,1156.0,766.0,0.6626,102.0,68.0,0.3333
2026-04-14,上海,895.0,608.0,0.6793,112.0,75.0,0.3304
2026-04-14,北京,1207.0,845.0,0.7001,137.0,98.0,0.2847
2026-04-14,南京,1026.0,685.0,0.6676,105.0,69.0,0.3429
2026-04-14,广州,1032.0,718.0,0.6957,127.0,88.0,0.3071
2026-04-14,成都,1131.0,774.0,0.6844,125.0,88.0,0.296
2026-04-14,杭州,947.0,652.0,0.6885,113.0,83.0,0.2655
2026-04-14,武汉,1032.0,705.0,0.6831,96.0,69.0,0.2813
2026-04-14,深圳,893.0,617.0,0.6909,82.0,58.0,0.2927
2026-04-15,上海,1176.0,814.0,0.6922,131.0,93.0,0.2901
2026-04-15,北京,1123.0,747.0,0.6652,113.0,86.0,0.2389
2026-04-15,南京,861.0,561.0,0.6516,81.0,51.0,0.3704
2026-04-15,广州,1115.0,760.0,0.6816,115.0,71.0,0.3826
2026-04-15,成都,1247.0,870.0,0.6977,145.0,96.0,0.3379
2026-04-15,杭州,1086.0,742.0,0.6832,130.0,87.0,0.3308
2026-04-15,武汉,1097.0,766.0,0.6983,111.0,77.0,0.3063
2026-04-15,深圳,1045.0,715.0,0.6842,119.0,74.0,0.3782
2026-04-16,上海,1316.0,899.0,0.6831,139.0,89.0,0.3597
2026-04-16,北京,974.0,671.0,0.6889,109.0,66.0,0.3945
2026-04-16,南京,1004.0,686.0,0.6833,93.0,72.0,0.2258
2026-04-16,广州,1056.0,717.0,0.679,111.0,77.0,0.3063
2026-04-16,成都,981.0,670.0,0.683,111.0,83.0,0.2523
2026-04-16,杭州,816.0,545.0,0.6679,87.0,54.0,0.3793
2026-04-16,武汉,846.0,570.0,0.6738,87.0,54.0,0.3793
2026-04-16,深圳,1118.0,752.0,0.6726,125.0,82.0,0.344
2026-04-17,上海,997.0,687.0,0.6891,119.0,88.0,0.2605
2026-04-17,北京,1018.0,697.0,0.6847,100.0,63.0,0.37
2026-04-17,南京,1092.0,754.0,0.6905,102.0,76.0,0.2549
2026-04-17,广州,1058.0,728.0,0.6881,105.0,77.0,0.2667
2026-04-17,成都,988.0,670.0,0.6781,108.0,76.0,0.2963
2026-04-17,杭州,977.0,676.0,0.6919,86.0,53.0,0.3837
2026-04-17,武汉,1024.0,702.0,0.6855,114.0,78.0,0.3158
2026-04-17,深圳,1119.0,772.0,0.6899,106.0,78.0,0.2642
2026-04-18,上海,1164.0,778.0,0.6684,124.0,87.0,0.2984
2026-04-18,北京,868.0,571.0,0.6578,103.0,70.0,0.3204
2026-04-18,南京,1193.0,800.0,0.6706,97.0,64.0,0.3402
2026-04-18,广州,1069.0,731.0,0.6838,106.0,76.0,0.283
2026-04-18,成都,918.0,616.0,0.671,69.0,53.0,0.2319
2026-04-18,杭州,1094.0,735.0,0.6718,109.0,72.0,0.3394
2026-04-18,武汉,911.0,645.0,0.708,101.0,66.0,0.3465
2026-04-18,深圳,1055.0,716.0,0.6787,87.0,57.0,0.3448
2026-04-19,上海,1009.0,668.0,0.662,105.0,69.0,0.3429
2026-04-19,北京,915.0,603.0,0.659,99.0,76.0,0.2323
2026-04-19,南京,995.0,683.0,0.6864,97.0,60.0,0.3814
2026-04-19,广州,890.0,583.0,0.6551,91.0,58.0,0.3626
2026-04-19,成都,804.0,537.0,0.6679,95.0,56.0,0.4105
2026-04-19,杭州,1114.0,744.0,0.6679,112.0,75.0,0.3304
2026-04-19,武汉,967.0,635.0,0.6567,87.0,53.0,0.3908
2026-04-19,深圳,1086.0,718.0,0.6611,116.0,70.0,0.3966
2026-04-20,上海,1069.0,729.0,0.6819,115.0,80.0,0.3043
2026-04-20,北京,1060.0,709.0,0.6689,91.0,70.0,0.2308
2026-04-20,南京,1327.0,902.0,0.6797,132.0,93.0,0.2955
2026-04-20,广州,990.0,670.0,0.6768,98.0,64.0,0.3469
2026-04-20,成都,921.0,609.0,0.6612,112.0,75.0,0.3304
2026-04-20,杭州,884.0,584.0,0.6606,94.0,68.0,0.2766
2026-04-20,武汉,804.0,531.0,0.6604,72.0,49.0,0.3194
2026-04-20,深圳,1196.0,791.0,0.6614,135.0,88.0,0.3481
2026-04-21,上海,1054.0,703.0,0.667,114.0,73.0,0.3596
2026-04-21,北京,1015.0,651.0,0.6414,110.0,59.0,0.4636
2026-04-21,南京,1027.0,661.0,0.6436,118.0,73.0,0.3814
2026-04-21,广州,1128.0,773.0,0.6853,124.0,92.0,0.2581
2026-04-21,成都,965.0,645.0,0.6684,99.0,71.0,0.2828
2026-04-21,杭州,916.0,588.0,0.6419,93.0,55.0,0.4086
2026-04-21,武汉,810.0,551.0,0.6802,91.0,62.0,0.3187
2026-04-21,深圳,905.0,611.0,0.6751,94.0,65.0,0.3085
2026-04-22,上海,825.0,546.0,0.6618,93.0,63.0,0.3226
2026-04-22,北京,950.0,617.0,0.6495,102.0,51.0,0.5
2026-04-22,南京,855.0,556.0,0.6503,78.0,49.0,0.3718
2026-04-22,广州,1022.0,681.0,0.6663,99.0,65.0,0.3434
2026-04-22,成都,975.0,617.0,0.6328,108.0,66.0,0.3889
2026-04-22,杭州,877.0,531.0,0.6055,98.0,50.0,0.4898
2026-04-22,武汉,895.0,595.0,0.6648,94.0,62.0,0.3404
2026-04-22,深圳,1033.0,663.0,0.6418,104.0,68.0,0.3462
2026-04-23,上海,720.0,452.0,0.6278,74.0,51.0,0.3108
2026-04-23,北京,859.0,548.0,0.638,80.0,36.0,0.55
2026-04-23,南京,1007.0,645.0,0.6405,106.0,60.0,0.434
2026-04-23,广州,938.0,604.0,0.6439,92.0,64.0,0.3043
2026-04-23,成都,946.0,612.0,0.6469,98.0,62.0,0.3673
2026-04-23,杭州,981.0,620.0,0.632,113.0,59.0,0.4779
2026-04-23,武汉,772.0,487.0,0.6308,74.0,47.0,0.3649
2026-04-23,深圳,929.0,609.0,0.6555,104.0,74.0,0.2885
2026-04-24,上海,938.0,602.0,0.6418,73.0,51.0,0.3014
2026-04-24,北京,731.0,484.0,0.6621,79.0,41.0,0.481
2026-04-24,南京,763.0,499.0,0.654,73.0,53.0,0.274
2026-04-24,广州,936.0,620.0,0.6624,103.0,68.0,0.3398
2026-04-24,成都,962.0,628.0,0.6528,80.0,58.0,0.275
2026-04-24,杭州,746.0,427.0,0.5724,82.0,31.0,0.622
2026-04-24,武汉,919.0,612.0,0.6659,87.0,51.0,0.4138
2026-04-24,深圳,828.0,538.0,0.6498,87.0,60.0,0.3103
2026-04-25,上海,965.0,622.0,0.6446,104.0,66.0,0.3654
2026-04-25,北京,617.0,400.0,0.6483,56.0,33.0,0.4107
2026-04-25,南京,844.0,539.0,0.6386,73.0,48.0,0.3425
2026-04-25,广州,768.0,511.0,0.6654,68.0,47.0,0.3088
2026-04-25,成都,839.0,544.0,0.6484,86.0,63.0,0.2674
2026-04-25,杭州,756.0,468.0,0.619,66.0,33.0,0.5
2026-04-25,武汉,925.0,614.0,0.6638,90.0,59.0,0.3444
2026-04-25,深圳,889.0,585.0,0.658,100.0,64.0,0.36
2026-04-26,上海,749.0,495.0,0.6609,67.0,42.0,0.3731
2026-04-26,北京,960.0,620.0,0.6458,109.0,51.0,0.5321
2026-04-26,南京,986.0,635.0,0.644,91.0,56.0,0.3846
