period,channel,city,is_top20_product,checkout_uv,paid_uv,blocked_uv,checkout_to_pay_rate,blocked_rate
1. 正常期,信息流渠道A,上海,0,8358.0,5690.0,2668.0,0.6808,0.3192
1. 正常期,信息流渠道A,上海,1,1014.0,678.0,336.0,0.6686,0.3314
1. 正常期,信息流渠道A,北京,0,8416.0,5676.0,2740.0,0.6744,0.3256
1. 正常期,信息流渠道A,北京,1,929.0,654.0,275.0,0.704,0.296
1. 正常期,信息流渠道A,南京,0,9086.0,6135.0,2951.0,0.6752,0.3248
1. 正常期,信息流渠道A,南京,1,1011.0,689.0,322.0,0.6815,0.3185
1. 正常期,信息流渠道A,广州,0,9322.0,6272.0,3050.0,0.6728,0.3272
1. 正常期,信息流渠道A,广州,1,932.0,641.0,291.0,0.6878,0.3122
1. 正常期,信息流渠道A,成都,0,8853.0,5938.0,2915.0,0.6707,0.3293
1. 正常期,信息流渠道A,成都,1,1093.0,719.0,374.0,0.6578,0.3422
1. 正常期,信息流渠道A,杭州,0,8927.0,6004.0,2923.0,0.6726,0.3274
1. 正常期,信息流渠道A,杭州,1,1057.0,729.0,328.0,0.6897,0.3103
1. 正常期,信息流渠道A,武汉,0,8730.0,5865.0,2865.0,0.6718,0.3282
1. 正常期,信息流渠道A,武汉,1,971.0,657.0,314.0,0.6766,0.3234
1. 正常期,信息流渠道A,深圳,0,9563.0,6503.0,3060.0,0.68,0.32
1. 正常期,信息流渠道A,深圳,1,1096.0,745.0,351.0,0.6797,0.3203
1. 正常期,自然搜索,上海,0,6859.0,4667.0,2192.0,0.6804,0.3196
1. 正常期,自然搜索,上海,1,802.0,534.0,268.0,0.6658,0.3342
1. 正常期,自然搜索,北京,0,6254.0,4217.0,2037.0,0.6743,0.3257
1. 正常期,自然搜索,北京,1,718.0,484.0,234.0,0.6741,0.3259
1. 正常期,自然搜索,南京,0,7453.0,5095.0,2358.0,0.6836,0.3164
1. 正常期,自然搜索,南京,1,818.0,541.0,277.0,0.6614,0.3386
1. 正常期,自然搜索,广州,0,6241.0,4211.0,2030.0,0.6747,0.3253
1. 正常期,自然搜索,广州,1,744.0,512.0,232.0,0.6882,0.3118
1. 正常期,自然搜索,成都,0,6984.0,4773.0,2211.0,0.6834,0.3166
1. 正常期,自然搜索,成都,1,797.0,547.0,250.0,0.6863,0.3137
1. 正常期,自然搜索,杭州,0,7319.0,4946.0,2373.0,0.6758,0.3242
1. 正常期,自然搜索,杭州,1,932.0,644.0,288.0,0.691,0.309
1. 正常期,自然搜索,武汉,0,6449.0,4480.0,1969.0,0.6947,0.3053
1. 正常期,自然搜索,武汉,1,694.0,468.0,226.0,0.6744,0.3256
1. 正常期,自然搜索,深圳,0,6831.0,4560.0,2271.0,0.6675,0.3325
1. 正常期,自然搜索,深圳,1,809.0,546.0,263.0,0.6749,0.3251
1. 正常期,达人种草,上海,0,7295.0,4992.0,2303.0,0.6843,0.3157
1. 正常期,达人种草,上海,1,845.0,595.0,250.0,0.7041,0.2959
1. 正常期,达人种草,北京,0,7016.0,4779.0,2237.0,0.6812,0.3188
1. 正常期,达人种草,北京,1,809.0,559.0,250.0,0.691,0.309
1. 正常期,达人种草,南京,0,6752.0,4554.0,2198.0,0.6745,0.3255
1. 正常期,达人种草,南京,1,788.0,520.0,268.0,0.6599,0.3401
1. 正常期,达人种草,广州,0,6985.0,4804.0,2181.0,0.6878,0.3122
1. 正常期,达人种草,广州,1,823.0,555.0,268.0,0.6744,0.3256
1. 正常期,达人种草,成都,0,6956.0,4784.0,2172.0,0.6878,0.3122
1. 正常期,达人种草,成都,1,815.0,541.0,274.0,0.6638,0.3362
