period,city,checkout_uv,feedback_count,stockout_feedback_count,high_severity_feedback_count,feedback_rate,stockout_feedback_rate
1. 正常期,上海,25173.0,1094,500.0,260.0,0.0435,0.457
1. 正常期,北京,24142.0,999,458.0,237.0,0.0414,0.4585
1. 正常期,南京,25908.0,1127,535.0,260.0,0.0435,0.4747
1. 正常期,广州,25047.0,1088,540.0,276.0,0.0434,0.4963
1. 正常期,成都,25498.0,1121,548.0,267.0,0.044,0.4888
1. 正常期,杭州,25542.0,1080,525.0,269.0,0.0423,0.4861
1. 正常期,武汉,24308.0,1007,491.0,245.0,0.0414,0.4876
1. 正常期,深圳,26342.0,1063,510.0,243.0,0.0404,0.4798
2. 异常期,上海,5251.0,235,112.0,58.0,0.0448,0.4766
2. 异常期,北京,5132.0,258,151.0,58.0,0.0503,0.5853
2. 异常期,南京,5482.0,254,123.0,47.0,0.0463,0.4843
2. 异常期,广州,5862.0,245,122.0,47.0,0.0418,0.498
2. 异常期,成都,5561.0,264,123.0,60.0,0.0475,0.4659
2. 异常期,杭州,5045.0,289,155.0,62.0,0.0573,0.5363
2. 异常期,武汉,5253.0,210,95.0,42.0,0.04,0.4524
2. 异常期,深圳,5731.0,261,124.0,68.0,0.0455,0.4751
